ZMon>rlkup *
0x48527004 UART1_DLH
0x48527004 UART1_IER
0x48527008 UART1_FCR
0x48527008 UART1_IIR
0x4852700C UART1_LCR
0x48527010 UART1_MCR
0x48527014 UART1_LSR
0x48527018 UART1_MSR
0x4852701C UART1_SCR
0x48528000 SPI_MAST_DATA
0x48528004 SPI_MAST_DATA_1
0x48528008 SPI_MAST_DATA_2
0x4852800C SPI_MAST_DATA_3
0x48528010 SPI_MAST_DATA_4
0x48528014 SPI_MAST_DATA_5
0x48528018 SPI_MAST_DATA_6
0x4852801C SPI_MAST_DATA_7
0x48528020 SPI_MAST_DATA_8
0x48528024 SPI_MAST_DATA_9
0x48528028 SPI_MAST_DATA_10
0x4852802C SPI_MAST_DATA_11
0x48528030 SPI_MAST_DATA_12
0x48528034 SPI_MAST_DATA_13
0x48528038 SPI_MAST_DATA_14
0x4852803C SPI_MAST_DATA_15
0x48528040 SPI_MAST_ADDR
0x48528044 SPI_MAST_NUM_OF_BYTES
0x48528048 SPI_MAST_SENDMASK
0x4852804C SPI_MAST_CMD
0x48528050 SPI_MAST_ICR
0x48528054 SPI_MAST_FCR
0x48528058 SPI_MAST_SR
0x48529000 IR_DATA_IN_OUT
0x48529004 IR_FEATURE_SIZE
0x48529008 IR_DUTY_CYCLE
0x4852900C IR_PRESCALER
0x48529010 IR_CARRIER
0x48529014 IR_STATUS
0x48529018 IR_CONFIG
0x4852A000 FMU_I2C0_FIFO
0x4852A004 FMU_I2C0_CTRL_REG
0x4852A008 FMU_I2C0_STATUS_REG
0x4852A100 FMU_I2C1_FIFO
0x4852A104 FMU_I2C1_CTRL_REG
0x4852A108 FMU_I2C1_STATUS_REG
0x4852A200 FMU_I2C2_FIFO
0x4852A204 FMU_I2C2_CTRL_REG
0x4852A208 FMU_I2C2_STATUS_REG
0x4852A300 FMU_I2C3_FIFO
0x4852A304 FMU_I2C3_CTRL_REG
0x4852A308 FMU_I2C3_STATUS_REG
0x4852A400 FMU_SPI_FIFO
0x4852A404 FMU_SPI_CTRL_REG
0x4852A500 FMU_IR_FIFO
0x4852A504 FMU_IR_CTRL_REG
0x4852A800 FMU_GLO_INT_EN_REG
0x4852A804 FMU_INT_EN_REG
0x4852A808 FMU_INT_REG
0x4852A80C FMU_INT_STATUS_REG
0x4852A810 FMU_INT_MONITOR_REG
0x4852B000 FBUS_GLO_INT_EN_REG
0x4852B004 FBUS_INT_EN_REG
0x4852B008 FBUS_INT_REG
0x4852B00C FBUS_INT_STATUS_REG
0x4852B408 FMU_SPI_STATUS_REG
0x4852B508 FMU_IR_STATUS_REG
0x48600000 TRP_CFG_REG
0x48600004 TRP_INT_ENABLE_REG
0x48600008 TRP_INT_STATUS_REG
0x4860000C TRP_INT_STATUS_ALIAS_REG
0x48600100 TRP_DSC_PID_RAM_BASE
0x48600200 TRP_DSC_KEY_RAM_BASE
0x486002E4 TRP_DSC_KEY_RAM_END
0x48610000 TRP_TSD_MCU_IRAM_ENTRY
0x48614000 TRP_TSD_MCU_DRAM_ENTRY
0x48616800 TRP_TSD_MCU_HALT_REG
0x48616804 TRP_TSD_MCU_PC
0x48616808 TRP_TSD_MCU_COND_CODE
0x4861680C TRP_TSD_MCU_SPL_REG
0x48617000 TRP_TSD_DMA_RD_CONFIG_REG
0x48617004 TRP_TSD_DMA_WR_ADD_REG
0x48617008 TRP_TSD_DMA_CRC_REG
0x48617800 TRP_TSD_IO_BYTELIM_CNT_REG
0x48617804 TRP_TSD_STC_CNT_LM_REG
0x48617808 TRP_TSD_STC_CNT_H_REG
0x48617810 TRP_TSD_CON_VCXO_REG
0x48617814 TRP_TSD_INT_STATUS_REG
0x48617820 TRP_TSD_IO_STATUS_REG
0x48617824 TRP_TSD_MPEG_REG
0x48650000 DPC_BASE
0x48650000 DPC_INTR_GLOBAL_EN_REG
0x48650000 DPC_REG_BASE
0x48650004 DPC_INTR_EN_REG
0x48650010 DPC_INTR_STAT_RAW_REG
0x48650014 DPC_INTR_STAT_REG
0x48650018 DPC_INTR_STAT_ALIAS_REG
0x48650020 DPC_INTR_ON_DEMAND_REG
0x48650024 DPC_DONE_ON_DEMAND_REG
0x48650100 DPC_GENLOCK_CFG_REG
0x48650108 DPC_HV_DIG_SYNC_PARM_REG
0x4865010C DPC_DIG_ANA_SYNC_PARM_REG
0x48650110 DPC_CONTROL_REG
0x48650114 DPC_SYNC_DET_CFG_REG
0x48650118 DPC_10BIT_REMAP0_REG
0x4865011C DPC_10BIT_REMAP1_REG
0x48650120 DPC_10BIT_REMAP2_REG
0x48650124 DPC_DAC_MONITOR_REG
0x48650128 DPC_DAC_POWER_CTRL_REG
0x4865012C DPC_10BIT_CLIP0_REG
0x48650130 DPC_10BIT_CLIP1_REG
0x48650134 DPC_10BIT_CLIP2_REG
0x48650138 DPC_RBK_DEBUG_REG
0x4865013C DPC_RESET_REG
0x48650140 DPC_DAC_MUX_REG
0x48651000 DPC_GFXR_BASE
0x48651000 DPC_GFXR_START_ADDR_CURR_REG
0x48651004 DPC_GFXR_START_ADDR_SHAD_REG
0x48651008 DPC_GFXR_SIZE_CURR_REG
0x4865100C DPC_GFXR_SIZE_SHAD_REG
0x48651010 DPC_GFXR_CONTROL_CURR_REG
0x48651014 DPC_GFXR_CONTROL_SHAD_REG
0x48651100 DPC_GFXR_CLUT_MIN_REG
0x486514FC DPC_GFXR_CLUT_MAX_REG
0x48652000 DPC_BLEND_BASE
0x48652100 DPC_BLEND_COUNT_CURR_REG
0x48652104 DPC_BLEND_COUNT_SHAD_REG
0x48652200 DPC_CSC1_OUT0_COEF01_CURR_REG
0x48652204 DPC_CSC1_OUT0_COEF01_SHAD_REG
0x48652208 DPC_CSC1_OUT0_COEF2_CURR_REG
0x4865220C DPC_CSC1_OUT0_COEF2_SHAD_REG
0x48652210 DPC_CSC1_OUT1_COEF01_CURR_REG
0x48652214 DPC_CSC1_OUT1_COEF01_SHAD_REG
0x48652218 DPC_CSC1_OUT1_COEF2_CURR_REG
0x4865221C DPC_CSC1_OUT1_COEF2_SHAD_REG
0x48652220 DPC_CSC1_OUT2_COEF01_CURR_REG
0x48652224 DPC_CSC1_OUT2_COEF01_SHAD_REG
0x48652228 DPC_CSC1_OUT2_COEF2_CURR_REG
0x4865222C DPC_CSC1_OUT2_COEF2_SHAD_REG
0x48652230 DPC_CSC1_OUT0_OFFSET_CURR_REG
0x48652234 DPC_CSC1_OUT0_OFFSET_SHAD_REG
0x48652238 DPC_CSC1_OUT1_OFFSET_CURR_REG
0x4865223C DPC_CSC1_OUT1_OFFSET_SHAD_REG
0x48652240 DPC_CSC1_OUT2_OFFSET_CURR_REG
0x48652244 DPC_CSC1_OUT2_OFFSET_SHAD_REG
0x48652248 DPC_CSC1_OUT0_CLIP_CURR_REG
0x4865224C DPC_CSC1_OUT0_CLIP_SHAD_REG
0x48652250 DPC_CSC1_OUT1_CLIP_CURR_REG
0x48652254 DPC_CSC1_OUT1_CLIP_SHAD_REG
0x48652258 DPC_CSC1_OUT2_CLIP_CURR_REG
0x4865225C DPC_CSC1_OUT2_CLIP_SHAD_REG
0x48652260 DPC_CSC1_CNT_CURR_REG
0x48652264 DPC_CSC1_CNT_SHAD_REG
0x48652300 DPC_CSC2_OUT0_COEF01_CURR_REG
0x48652304 DPC_CSC2_OUT0_COEF01_SHAD_REG
0x48652308 DPC_CSC2_OUT0_COEF2_CURR_REG
0x4865230C DPC_CSC2_OUT0_COEF2_SHAD_REG
0x48652310 DPC_CSC2_OUT1_COEF01_CURR_REG
0x48652314 DPC_CSC2_OUT1_COEF01_SHAD_REG
0x48652318 DPC_CSC2_OUT1_COEF2_CURR_REG
0x4865231C DPC_CSC2_OUT1_COEF2_SHAD_REG
0x48652320 DPC_CSC2_OUT2_COEF01_CURR_REG
0x48652324 DPC_CSC2_OUT2_COEF01_SHAD_REG
0x48652328 DPC_CSC2_OUT2_COEF2_CURR_REG
0x4865232C DPC_CSC2_OUT2_COEF2_SHAD_REG
0x48652330 DPC_CSC2_OUT0_OFFSET_CURR_REG
0x48652334 DPC_CSC2_OUT0_OFFSET_SHAD_REG
0x48652338 DPC_CSC2_OUT1_OFFSET_CURR_REG
0x4865233C DPC_CSC2_OUT1_OFFSET_SHAD_REG
0x48652340 DPC_CSC2_OUT2_OFFSET_CURR_REG
0x48652344 DPC_CSC2_OUT2_OFFSET_SHAD_REG
0x48652348 DPC_CSC2_OUT0_CLIP_CURR_REG
0x4865234C DPC_CSC2_OUT0_CLIP_SHAD_REG
0x48652350 DPC_CSC2_OUT1_CLIP_CURR_REG
0x48652354 DPC_CSC2_OUT1_CLIP_SHAD_REG
0x48652358 DPC_CSC2_OUT2_CLIP_CURR_REG
0x4865235C DPC_CSC2_OUT2_CLIP_SHAD_REG
0x48652360 DPC_CSC2_CNT_CURR_REG
0x48652364 DPC_CSC2_CNT_SHAD_REG
0x48652400 DPC_VSELECT_CNT_CURR_REG
0x48652404 DPC_VSELECT_CNT_SHAD_REG
0x48652500 DPC_EE_FILT0_COEFF5_CURR_REG
0x48652504 DPC_EE_FILT0_COEFF5_SHAD_REG
0x48652508 DPC_EE_FILT0_COEFF14_CURR_REG
0x4865250C DPC_EE_FILT0_COEFF14_SHAD_REG
0x48652510 DPC_EE_FILT1_COEFF5_CURR_REG
0x48652514 DPC_EE_FILT1_COEFF5_SHAD_REG
0x48652518 DPC_EE_FILT1_COEFF14_CURR_REG
0x4865251C DPC_EE_FILT1_COEFF14_SHAD_REG
0x48652520 DPC_EE_GAIN0_CURR_REG
0x48652524 DPC_EE_GAIN0_SHAD_REG
0x48652528 DPC_EE_GAIN1_CURR_REG
0x4865252C DPC_EE_GAIN1_SHAD_REG
0x48652530 DPC_EE_MISC_CONFIG_CURR_REG
0x48652534 DPC_EE_MISC_CONFIG_SHAD_REG
0x48652538 DPC_EE_COUNT_CURR_REG
0x4865253C DPC_EE_COUNT_SHAD_REG
0x48652600 DPC_SCC_COLOR0_Y_REG
0x48652604 DPC_SCC_COLOR0_CB_REG
0x48652608 DPC_SCC_COLOR0_CR_REG
0x4865260C DPC_SCC_COLOR1_Y_REG
0x48652610 DPC_SCC_COLOR1_CB_REG
0x48652614 DPC_SCC_COLOR1_CR_REG
0x48652618 DPC_SCC_COLOR2_Y_REG
0x4865261C DPC_SCC_COLOR2_CB_REG
0x48652620 DPC_SCC_COLOR2_CR_REG
0x48652624 DPC_SCC_COLOR3_Y_REG
0x48652628 DPC_SCC_COLOR3_CB_REG
0x4865262C DPC_SCC_COLOR3_CR_REG
0x48652660 DPC_SCC_TEST_MODE_REG
0x48652664 DPC_SCC_MODE_COLOR0_3_REG
0x48652670 DPC_SCC_COUNT_CURR_REG
0x48652674 DPC_SCC_COUNT_SHAD_REG
0x4865267C DPC_SCC_START_REG
0x4865267F DPC_SCC_DPL_START_REG
0x48652700 DPC_TLUT_COUNT_CURR_REG
0x48652704 DPC_TLUT_COUNT_SHAD_REG
0x4865270C DPC_TLUT_START_REG
0x4865270F DPC_TLUT_DPL_START_REG
0x48652800 DPC_TLUT_ENTRY0_REG
0x486529FC DPC_TLUT_ENTRY127_REG
0x48652A00 DPC_TLUT_ENTRY128_REG
0x48652BFC DPC_TLUT_ENTRY255_REG
0x48652C00 DPC_HWG_COUNTOUT_CURR_REG
0x48652C04 DPC_HWG_COUNTOUT_SHAD_REG
0x48652C08 DPC_HWG_CFG1_CURR_REG
0x48652C0C DPC_HWG_CFG1_SHAD_REG
0x48652C10 DPC_HWG_CFG2_CURR_REG
