ZMon>3view
Index Name              Current Default Minimum Maximum Type defUserMin defUserMax userDef userMin userMax
  84  BG_DEFCUR_ATSC    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
  85  TEMP_COOL_ATSC       4945    4945       0   10000 User          0      10000    4945       0   10000
  86  TEMP_WARM_ATSC       4500    4500       0   10000 User          0      10000    4500       0   10000
  87  TEMP_NORM_ATSC       4785    4785       0   10000 User          0      10000    4785       0   10000
  88  Contrast_NTSC          56      56       0     100 User          0        100      56       0     100
  89  Brightness_NTSC        40      40       0     100 User          0        100      40       0     100
  90  Color_NTSC             67      67       0     100 User          0        100      67       0     100
  91  Tint_NTSC              50      50       0     100 User          0        100      50       0     100
  92  Sharpness_NTSC         62      62       0     100 User          0        100      62       0     100
  93  ColorTemp_NTSC          1       1       0       2 User          0          2       1       0       2
  94  Spatial_NTSC            1       1       0       1 User          0          1       1       0       1
  95  Speckle_NTSC            1       1       0       1 User          0          1       1       0       1
  96  Temporal_NTSC           1       1       0       1 User          0          1       1       0       1
  97  Sharp_NTSC_1           50      50       0   65535 User          0      65535      50       0   65535
  98  Sharp_NTSC_2           50      50       0   65535 User          0      65535      50       0   65535
  99  Sharp_NTSC_3           50      50       0   65535 User          0      65535      50       0   65535
 100  Sharp_NTSC_4           50      50       0   65535 User          0      65535      50       0   65535
 101  EEParam_NTSC_1    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 102  EEParam_NTSC_2    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 103  EEParam_NTSC_3    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 104  EEParam_NTSC_4    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 105  Coeff1_NTSC_1         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 106  Coeff1_NTSC_2         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 107  Coeff1_NTSC_3         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 108  Coeff1_NTSC_4         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 109  Coeff2_NTSC_1         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 110  Coeff2_NTSC_2         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 111  Coeff2_NTSC_3         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 112  Coeff2_NTSC_4         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 113  NR_NTSC            607300  607300       0 2147483647 User          0 2147483647  607300       0 2147483647
 114  CVD2_NTSC         13407002 13407002 -2147483648 2147483647 User -2147483648 2147483647 13407002 -2147483648 2147483647
 115  CVD21_NTSC        83894912 83894912 -2147483648 2147483647 User -2147483648 2147483647 83894912 -2147483648 2147483647
 116  RO_URANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 117  RO_FRANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 118  RO_DEFCUR_NTSC    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 119  GO_URANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 120  GO_FRANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 121  GO_DEFCUR_NTSC    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 122  BO_URANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 123  BO_FRANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 124  BO_DEFCUR_NTSC    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
